"address","result_lat","result_lng","match"
"Rue Charles de Gaulle 02500 HIRSON",49.920519,4.083917,True
"Avenue du General Debeney 02500 HIRSON",49.916514,4.0781279999999995,False
"102 RUE CHARLES DE GAULLE 02500 HIRSON",49.919301000000004,4.084611,True
"Allée Anne de Pisseleu 02600 VILLERS-COTTERêTS",49.250721,3.082598,False
"85 Rue du General Leclerc 02600 VILLERS-COTTERETS",49.255472999999995,3.083069,True
"RTE NATIONALE 2  CHEMIN DE LA NONNE 02600 VILLERS-COTTERêTS",49.244037,3.078462,False
"36 ROUTE DE LA FERTE MILON 02600 VILLERS-COTTERÊTS",49.246033000000004,3.095832,False
"Avenue de la Ferté Milon 02600 VILLERS-COTTERêTS",49.243618,3.096851,True
"A 26  Aire Urvillers 02690 ESSIGNY-LE-GRAND",49.779315999999994,3.28785,False
"AUTOROUTE A26  AIRE D'URVILLERS 02690 Essigny-le-Grand",49.779315999999994,3.28785,False
"213 Boulevard Gambetta 02700 CONDREN",49.650628999999995,3.2807519999999997,True
"ZA LA PLANCHETTE 02700 TERGNIER",49.659159,3.311838,False
"Route de LAON  Lieudit 02800 CHARMES",49.656565,3.3846220000000002,False
"Rue de Danizy 02800 LA FèRE",49.661046999999996,3.37291,False
"Chemin Blanc 02800 BEAUTOR",49.660886,3.3454019999999995,False
"1 Chemin de Danizy 02800 LA FèRE",49.660133,3.3717629999999996,True
"Route de Fismes 02860 BRUYèRES-ET-MONTBéRAULT",49.520559000000006,3.6700489999999997,False
" Rue du Stade 02880 Crouy",49.399627,3.3557879999999995,False
"169 ROUTE DE LYON 03000 MOULINS",46.539865,3.3447199999999997,True
"8 Avenue de la Libération 03000 MOULINS",46.560624,3.3203669999999996,True
"2 Rue Alphonse Daudet 03000 Avermes",46.587921,3.313567,True
"le prévert 03000 MOULINS",46.54586,3.3376690000000004,False
"16 Route de Montilly 03000 MOULINS",46.562769,3.319307,True
"ZAC les portes de l'Allier 03000 Avermes",46.590052,3.324135,False
"Quai ledru Rollin 03100 MONTLUçON",46.344283000000004,2.600596,True
"52 Rue Paul Constans 03100 MONTLUçON",46.343107,2.59196,True
"8 Avenue Albert Thomas 03100 MONTLUCON",46.352142,2.591068,True
"Avenue Pierre Villon 03100 MONTLUçON",46.353124,2.588548,True
"A71 aire de l'Allier Saulzet (sens province paris) 03170 Doyet",46.356821999999994,2.803157,False
"345 AVENUE PRESIDENT AURIOL 03100 MONTLUCON",46.317225,2.577235,False
"Rue de la Rotonde 03100 Montluçon",46.333405,2.60167,True
"106 Avenue John Kennedy 03100 Montluçon",46.327496000000004,2.6085529999999997,False
"AVENUE JULES GUESDE 03100 MONTLUçON",46.340301000000004,2.583587,True
"19 Route de SaintPourçain 03110 CHARMEIL",46.154485,3.393583,False
"24 Village Des Combes 03110 Broût-Vernet",46.191988,3.264712,False
"94 RUE PRESIDENT ROOSEVELT 03120 LAPALISSE",46.247894,3.629997,True
"RUE DE VERDUN 03120 LAPALISSE",46.254661,3.625146,True
"AVENUE JEAN MASSE 03120 Lapalisse",46.252795,3.6248720000000003,False
"zac les pres de la grand route 03120 Lapalisse",46.248754,3.620713,False
"1 Avenue du 8 Mai 1945 03120 Lapalisse",46.247681,3.629011,True
"11 Avenue Préveraud 03130 Le Donjon",46.348159,3.793254,False
"66 avenue de Chazeuil 03150 VARENNES-SUR-ALLIER",46.321721000000004,3.391573,True
"37 AVENUE DE LYON 03150 VARENNES-SUR-ALLIER",46.308475,3.412964,True
"90 Avenue de Chazeuil 03150 VARENNES-SUR-ALLIER",46.319082,3.3934269999999995,True
"98 avenue de Chazeuil 03150 VARENNES-SUR-ALLIER",46.317021000000004,3.395471,True
"11 AV DE CHAZEUIL 03150 VARENNES-SUR-ALLIER",46.327939,3.3879620000000004,False
"Avenue Emile Guillaumin 03160 BOURBON-L'ARCHAMBAULT",46.583332,3.062771,True
"A71 aire de l'Allier Doyet(sens paris province) 03170 Doyet",46.356821999999994,2.803157,False
"Route de Montluçon les beauchérias 03190 Vallon-en-Sully",46.531278,2.621248,False
"57 Avenue Poincaré 03200 VICHY",46.116371,3.437578,True
"48 Avenue de Gramont 03200 VICHY",46.13071,3.433639,True
"Allée des ailes 03200 VICHY",46.142961,3.415083,True
"1 ROUTE DE COSNE 03210 SOUVIGNY",46.532689000000005,3.1883060000000003,False
"Lieudit Longeville 03240 Deux-Chaises",46.375820000000004,3.02093,False
"Route des Ferrières 03250 Le Mayet-de-Montagne",46.067688000000004,3.6616230000000005,False
