"id","superseded_by"
54520005,54520007
54600001,54600005
54700002,54700010
54700004,54700008
55000002,55000010
55000007,55000010
55100002,55100007
55160012,57124001
55190002,55190003
56000001,56000009
56000002,56000008
56100006,56100012
56250001,56250004
56270002,56270007
56400008,56400010
56440001,56440003
56450001,56450005
56520002,56520006
56520003,56520005
56690003,56690004
56700005,56700003
56800002,56800006
57000003,57000021
57070002,57070011
57100004,57100007
57100005,57100008
57120002,57120005
57130002,57130004
57150004,57150005
57160005,57160006
57300003,57300005
57400004,57400007
57430002,57430003
57600007,57600015
57740002,57740007
57855002,57124001
58000004,58000010
58150001,58150003
58240002,58240003
58640003,58640004
59000001,59000017
59000005,59000016
59000013,59000020
59100008,59100012
59110002,59110005
59110004,59110006
59113002,59113009
59114002,59114005
59119002,59119003
59121001,59121002
59125002,59125004
59146001,59146002
59155005,59155007
59156001,59156002
59160001,59610004
59174001,59174002
59200002,59200009
59200005,59200008
59210001,59210005
59211001,59211002
59223002,59223004
59260001,59260007
59260005,59000020
59260006,59000020
59300002,59300016
59300003,59300015
59320002,59320006
59370003,59370004
59380004,59380005
59400001,59400008
59400002,59400007
59420001,59420002
59470001,59470004
59494003,59494009
59500004,59500009
59540001,59541001
59600007,59600006
59640001,59640002
59650003,59650012
59650006,59650011
59700006,59700009
59700007,59700008
59710004,59710006
59750006,59750005
59770001,59770003
60000004,60000015
60000005,60000012
60000014,60000015
60100005,60100007
60120003,60120006
60160001,60160003
60190001,60190003
60200010,60200012
60290001,60290005
60300002,60300007
60300004,60300008
60360002,60360001
60400002,60400005
60490002,60490008
60490003,60490007
60500003,60500011
60500007,60500010
60500009,60500010
60680002,60680003
60870001,60870003
61250001,61250003
62100003,62100027
62100008,62100024
62100009,62100025
62100010,62100026
62110002,62110003
62119001,62110004
62128005,62128007
62200002,62200005
62217004,62217007
62217006,62217007
62230002,62230004
62250003,62250011
62250004,62250010
62300003,62300014
62300004,62300013
62300009,62300012
62360005,62360006
62450002,62450005
62490001,62490003
62500002,62500005
62600001,62600005
62660002,62660004
62820001,62820003
62860001,62860007
62860004,62860007
63000004,63000022
63000006,63000024
63190002,63190011
63200003,63200006
63440002,63440003
63450003,63450004
63500004,63500006
64000005,64000015
64100008,64100015
64110001,64110006
64121001,64121003
64140002,64140005
64200001,64200009
64210001,64210005
64210002,64210006
64320001,64320005
64500001,64500006
64530003,64530004
64600004,64600007
65000003,65000010
65100003,65100009
65400002,65400005
66000009,66000018
66100001,66100002
66240002,66624001
66750001,66750004
67000003,67000026
67000006,67000025
67170004,67170008
67200003,67200011
67200004,67200012
67202001,67202003
67210002,67210004
67300001,67300003
67310001,67310004
67400003,67400005
67500008,67500011
67540002,67540004
67550002,67550003
67600002,67600010
67640001,67640004
67800006,67800011
67800010,67800013
68000007,68000018
68000011,68000020
68160003,68160004
68170001,68170003
68250001,68250004
68420001,68460001
68470001,68470002
68520001,68520006
68520008,68520009
69002001,69002006
69002005,69002006
69004006,69004015
69004009,69004014
69004010,69004015
69004011,69004014
69007001,69007009
69007003,69007007
69007004,69007008
69007005,69007006
69008002,69008008
69008005,69008007
69008006,69008008
69009001,69009007
69009005,69009008
69100002,69100022
69100024,69100032
69100027,69100030
69120004,69120010
69170002,69170004
69200002,69200009
69220002,69220010
69220004,69220007
69270003,69270004
69300003,69300010
69310002,69310004
69350002,69350003
69360005,69360012
69370001,69370002
69380002,69380009
69400012,69400014
69410005,69410007
69500003,69500008
69500004,69500009
69570004,69570005
69670001,69670002
69740001,69740002
69800002,69800016
69800003,69800014
69800004,69800017
70140001,70140002
70300002,70300009
71000002,71000022
71100018,71100027
71100020,71240006
71170002,71170003
71200002,71200012
71210003,71210009
71210005,71210008
71240005,71240007
71250002,71250007
71250003,71250006
71260001,71260006
71400002,71400012
71400003,71400013
71400004,71400007
71700003,71700006
72000004,72000020
72000005,72000019
72100007,72100013
72100008,72100014
72470001,72470004
72500003,72500004
73000003,73000014
73000004,73000013
73000011,73000012
73100009,73100012
73140005,73140007
73140006,73140007
73200004,73200006
73290003,73290004
73602001,73600006
74000003,74000014
74100003,74100011
74100004,74100010
74200011,74200017
74310001,74310003
74700002,74700005
74940001,74940002
75007001,75007004
75008008,75008010
75012002,75012023
75012018,75012020
75013011,75013026
75013013,75013024
75013015,75013025
75013020,75013023
75013021,75013022
75013027,75013028
75014005,75014012
75014009,75014010
75015001,75015028
75015008,75015025
75015009,75015026
75016008,75016017
75017001,75017017
75018001,75018012
75018011,75018012
75019001,75019017
75019002,75019015
75019005,75019013
75019006,75019014
75019010,75019016
75020002,75020008
75020006,75020010
76000003,76000012
76120003,76120008
76200001,76200004
76300003,76300009
76420005,76420006
76430002,76430006
76440001,76440006
76500002,76500004
76530001,76530004
76600003,76600024
76600017,76600025
76600019,76600021
76610001,76610004
76680002,76680004
76700002,76700007
76700003,76700006
76720001,76720003
76770001,76770003
76800006,76800009
76800007,76800009
76800008,76800009
77000002,77000011
77000010,77000013
77100004,77100022
77100013,77100021
77100014,77100024
77100017,77100023
77100019,77100024
77120001,77120006
77120002,77120007
77130009,77130011
77140002,77140011
77170002,77170012
77170011,77170004
77171002,77171003
77186002,77186003
77190001,77190005
77190002,77190006
77230002,77230006
77260003,77260008
77310008,77310009
77330001,77330004
77340001,77340006
77340004,77340006
77350001,77350005
77390004,77390003
77400004,77400012
77400010,77400011
77410006,77410008
77450003,77450005
77500002,77500009
77550001,77550005
77550002,77550004
77600001,77600003
77600002,77600004
77740001,77740002
77780002,77780003
77800001,77880001
78000003,78000020
78000004,78000019
78100001,78100002
78120002,78120012
78130010,78130011
78150001,78150013
78150002,78150012
78150003,78150011
78150004,78150014
78150008,78150011
78150009,78150014
78150010,78150014
78160001,78160002
78170005,78170006
78190004,78190010
78200006,78200012
78210001,78210006
78230004,78230006
78270001,78270002
78280001,78280004
78280002,78280003
78290002,78290003
78310005,78310006
78340001,78340004
78340002,78340005
78360003,78360004
78380001,78380004
78390001,78390006
78400003,78400004
78410003,78410004
78430004,78430005
78520003,78520004
78600001,78600004
78630001,78630010
78630002,78630008
78630003,78630009
78630006,78630011
