"id","Nom","Marque","address","latitude","longitude","services","automate_h24","is_closed_day","business_hours","gas_price","gas_last_update"
"4000004","INTERMARCHE DIGNE","Intermarché","8 avenue du 8 Mai 1945 04000 Digne-les-Bains","osm_lat      44.0897
Name: 308, dtype: object","osm_lng      6.23708
Name: 308, dtype: object","Station de gonflage|Vente de gaz domestique (Butane, Propane)",False,False,"",0.967,"2018-11-08 09:41:52"
"72400005","Station Avia Opel La Ferté Bernard","Avia","RD 323 72400 CHERRE","osm_lat      48.1741
Name: 312, dtype: object","osm_lng      0.652307
Name: 312, dtype: object","Carburant additivé|Toilettes publiques|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Piste poids lourds|Vente d'additifs carburants",False,False,"08:00-19:30",0.78,"2018-11-02 13:53:46"
"59430001","CARREFOUR SAINT POL SUR MER","Carrefour","Rue de la République 59430 Dunkerque","osm_lat      51.0232
Name: 314, dtype: object","osm_lng      2.34002
Name: 314, dtype: object","Station de gonflage|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB",True,False,"",0.769,"2018-11-16 10:04:39"
"6211001","GEANT CASINO","Géant","Avenue de Fréjus 06210 Mandelieu-la-Napoule","osm_lat      43.5334
Name: 316, dtype: object","osm_lng      6.93379
Name: 316, dtype: object","Carburant additivé|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True,False,"",0.938,"2018-11-16 06:17:11"
"77600003","RELAIS BUSSY ST GEORGES","Total","AUTOROUTE A4  AIRE DE BUSSY ST GEORGES 77600 Bussy-Saint-Georges","osm_lat      48.8303
Name: 318, dtype: object","osm_lng      2.74607
Name: 318, dtype: object","",False,False,"",0.959,"2018-11-16 09:00:00"
"54200005","BMCV SARL","Avia","2 Rue Paul Keller 54200 TOUL","osm_lat      48.6729
Name: 319, dtype: object","osm_lng      5.88631
Name: 319, dtype: object","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Relais colis|Lavage automatique",False,False,"",0.879,"2018-10-11 06:27:59"
"21121001","GEANT CASINO","Géant","1 Rue Les Près Potets 21121 Fontaine-lès-Dijon","osm_lat      47.3559
Name: 321, dtype: object","osm_lng      5.03321
Name: 321, dtype: object","Carburant additivé|Restauration sur place|Toilettes publiques|Bar|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique|Vente de pétrole lampant",True,False,"",0.749,"2018-11-15 14:22:47"
"42700001","GEANT CASINO","Géant","Rue de Chazeau 42700 FIRMINY","osm_lat      45.3794
Name: 322, dtype: object","osm_lng      4.27581
Name: 322, dtype: object","Carburant additivé|Vente de gaz domestique (Butane, Propane)|Automate CB|Automate CB 24/24",True,False,"",0.789,"2018-11-16 06:25:36"
"30900017","RELAIS NIMES AGEL","Total Access","2705 RTE DE MONTPELLIER 30900 NIMES","osm_lat      43.8101
Name: 323, dtype: object","osm_lng      4.32943
Name: 323, dtype: object","Carburant additivé|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique",True,False,"",0.789,"2018-11-17 00:01:00"
"1370001","SARL CIRA DISTRIBUTION","Total","395 route de Bourg 01370 SAINT-ÉTIENNE-DU-BOIS","osm_lat      46.281
Name: 324, dtype: object","osm_lng      5.28866
Name: 324, dtype: object","Restauration à emporter|Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Lavage automatique|Lavage manuel",False,False,"",0.893,"2018-11-09 18:49:08"
