"osm_obj","osm_id","osm_lat","osm_lng","osm_ref:FR:prix-carburants","osm_name","osm_brand","osm_operator","osm_opening_hours"
"node","946880159",46.3326806,2.6026327,"3100008","","","","24/7"
"node","950119893",46.3330649,-1.2920493,"85460003","","","","24/7"
"node","952916258",48.7979602,2.6046877,"77340006","Total Access","","Total","24/7"
"node","954708247",47.1053761,6.1304065,"25290005","Avia Ornans","","Avia","24/7"
"node","955019201",46.6690886,-1.2867894,"85310001","Garage du Moulin Rouge","Avia","",""
"node","955211223",48.8635857,2.2722338,"75016006","","","shell","24/7"
"node","956197905",45.4006594,2.0392837,"19300002","","Super U","","24/7"
"node","958194714",45.1996568,5.7401489,"38000015","","8 à Huit","","24/7"
"node","960136559",48.7116369,2.8559616,"77610002","Intermarché","","Groupement des Mousquetaires","24/7"
"node","960172038",47.6537888,2.7373109,"45250003","Intermarché","","Groupement des Mousquetaires","24/7"
"node","961611039",43.8443881,5.8491706,"4130004","Relais de Volx","Total","","24/7"
"node","961611395",43.8417951,5.8501451,"4130005","Total Aire de Manosque","","Total","24/7"
"node","961871748",48.8811472,2.0971652,"78230002","Esso Express","","Esso","24/7"
"node","961871751",48.8791063,2.0969399,"78230006","Elf","","",""
"node","963521230",49.0056752,2.1135645,"78700003","Total","","Total","24/7"
"node","964763874",49.039532,1.5929429,"78840003","Intermarché","","Groupement des Mousquetaires","24/7"
"node","965484034",48.7391939,2.4479843,"94190003","Intermarché","","Groupement des Mousquetaires","24/7"
"node","965881397",48.7729349,2.3380729,"94550002","Relais Total","","Total","24/7"
"node","965999165",44.9062143,-0.233264,"33500005","Intermarché","","Groupement des Mousquetaires","24/7"
"node","966162146",48.8589291,2.902132,"77580002","Intermarché","","Groupement des Mousquetaires","24/7"
"node","966241147",48.7396059,2.7290993,"77220004","Intermarché","","Groupement des Mousquetaires","24/7"
"node","966250269",48.8766652,2.7500454,"77144001","Intermarché","","Groupement des Mousquetaires","24/7"
"node","966262426",48.0686964,-2.9722395,"56300001","","","Super U","24/7"
"node","966271160",47.6290592,-2.6546723,"56450003","","Independent","Carrefour Market","24/7"
"node","966271178",47.6362063,-2.6653764,"56450005","","Total Access","Total access","24/7"
"node","966616164",48.9452561,1.5240269,"78980001","Intermarché","","Groupement des Mousquetaires",""
"node","966845824",48.811722,1.7636824,"78890002","Intermarché","","Groupement des Mousquetaires",""
"node","967757312",48.6624343,2.3597828,"91390002","Intermarché","","Groupement des Mousquetaires","24/7"
"node","968016906",48.3932676,2.390941,"91720001","Intermarché","","Groupement des Mousquetaires","24/7"
"node","968502851",48.9327971,2.2325832,"95100033","Total Access - Relais des Impressionnistes","Total","","24/7"
"node","968924214",48.8408422,2.3172666,"75015031","8 à Huit","BP","","24/7"
"node","969934473",45.6456255,2.4452594,"19340002","","","Elan","24/7"
"node","972616126",45.82471,3.0731436,"63112001","","","","24/7"
"node","973541887",45.4812411,4.444806,"42290002","Garage_Peugeot","Peugeot","",""
"node","973809220",48.8758907,2.3810965,"75019009","BP","","BP","24/7"
"node","974273305",48.4122672,-1.7457953,"35270001","U","","","24/7"
"node","976134386",46.5647399,4.903018,"71700001","","Carrefour","","24/7"
"node","979614231",46.788719,1.7036013,"36000014","Intermarché","","Groupement des Mousquetaires","24/7"
"node","983571577",42.7765998,2.9165286,"66530001","","Carrefour","","24/7"
"node","984119590",45.8337309,3.0963353,"63118001","Carburant Simply","","","24/7"
"node","984553634",45.7305266,4.8594279,"69200003","Super U","","Super U","24/7"
"node","985751738",45.1812005,5.7857921,"38610001","","","Total","24/7"
"node","986737639",48.3503422,5.693699,"88300006","","TOTAL","",""
"node","986970740",46.0164832,3.3485016,"63310002","Intermarché","","Groupement des Mousquetaires","24/7"
"node","987397229",43.5776542,1.3265146,"31170004","Kai","","","24/7"
"node","987734571",48.8842378,2.3608157,"75010007","Elan","Elan","","24/7"
"node","993149281",43.3105578,1.9705754,"11400004","Total","Total","",""
"node","993192952",43.7309621,5.1693933,"13370003","","","Groupement des Mousquetaires","24/7"
"node","993642116",48.8387525,2.2535353,"75016017","Total Porte Saint-Cloud","","","24/7"
"node","995488580",43.7490759,5.3101465,"84360003","Avia","","","24/7"
"node","1003754756",48.8187379,2.120353,"78150007","","","Sarl sodical","24/7"
"node","1003821781",47.3551901,-1.0151344,"49410002","","","Groupement des Mousquetaires",""
"node","1004152469",45.895976,6.809635,"74310002","","Super U","","24/7"
"node","1004498944",48.8397287,2.2311002,"92100015","Total","","","24/7"
"node","1007205837",45.3902174,4.315439,"42500013","Station E. Leclerc","E. Leclerc","","24/7"
"node","1011201570",46.1043871,4.7492751,"69220006","Station Roady Belleville","Roady","","24/7"
"node","1011424958",43.4569245,2.000768,"31250005","","","Leader Price","24/7"
"node","1012722076",49.3827093,2.4013383,"60600004","Intermarché","","Groupement des Mousquetaires","24/7"
"node","1014467805",50.6135997,3.0029619,"59120002","Total Access","Total Access","Elf","24/7"
"node","1016099731",48.8429824,2.5775291,"93160004","Esso Express","","Esso","24/7"
"node","1022239615",43.209071,1.0916316,"31220005","Station Service","","Intermarché","24/7"
"node","1023319275",43.6622555,7.0568595,"6330003","Relais de Roquefort-les-Pins","Total","Total","24/7"
