"id","lat","lng","adresse","cp","ville","services","automate_h24","active","address","lower_address"
"78100002",48.89957,2.07564,"122 RUE DU PRESIDENT ROOSEVELT","78100","Saint-Germain-en-Laye","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,True,"122 RUE DU PRESIDENT ROOSEVELT 78100 Saint-Germain-en-Laye","122 rue du president roosevelt 78100 saint-germain-en-laye"
"78110002",48.89561,2.12581,"101 Boulevard Carnot","78110","Le Vésinet","",False,True,"101 Boulevard Carnot 78110 Le Vésinet","101 boulevard carnot 78110 le vésinet"
"78110003",48.89998,2.12422,"63 Route de Montesson","78110","LE VéSINET","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"63 Route de Montesson 78110 LE VéSINET","63 route de montesson 78110 le vésinet"
"78110004",48.89998,2.12422,"63 Route de Montesson","78110","Le Vésinet","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"63 Route de Montesson 78110 Le Vésinet","63 route de montesson 78110 le vésinet"
"78114001",48.725,2.083,"rue vincent van gogh","78114","MAGNY-LES-HAMEAUX","Station de gonflage|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Lavage automatique|Lavage manuel",False,False,"rue vincent van gogh 78114 MAGNY-LES-HAMEAUX","rue vincent van gogh 78114 magny-les-hameaux"
"78120002",48.56771,1.83319,"RN 10 LIEU DIT L'ABBE","78120","Sonchamp","Restauration à emporter|Carburant additivé|Restauration sur place|Boutique alimentaire|Boutique non alimentaire|Automate CB",True,False,"RN 10 LIEU DIT L'ABBE 78120 Sonchamp","rn 10 lieu dit l'abbe 78120 sonchamp"
"78120003",48.624987,1.829556,"RN10 CENTRE COMMERCIAL DU BEL AIR","78120","RAMBOUILLET","Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB",True,True,"RN10 CENTRE COMMERCIAL DU BEL AIR 78120 RAMBOUILLET","rn10 centre commercial du bel air 78120 rambouillet"
"78120005",48.647,1.856,"rue Clos Batant","78120","RAMBOUILLET","Restauration à emporter|Restauration sur place|Toilettes publiques|Bar|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Piste poids lourds|Automate CB|Vente de fioul domestique|Bornes électriques|Automate CB 24/24",True,False,"rue Clos Batant 78120 RAMBOUILLET","rue clos batant 78120 rambouillet"
"78120007",48.64325,1.83017,"2 Rue Sadi-Carnot","78120","Rambouillet","",False,False,"2 Rue SadiCarnot 78120 Rambouillet","2 rue sadicarnot 78120 rambouillet"
"78120010",48.649684,1.832517,"75AVENUESADI CARNOT","78120","RAMBOUILLET","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique|Vente de fioul domestique",False,False,"75AVENUESADI CARNOT 78120 RAMBOUILLET","75avenuesadi carnot 78120 rambouillet"
"78120012",48.56771,1.83319,"RN 10 LIEU DIT L'ABBE","78120","SONCHAMP","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Piste poids lourds|Automate CB",True,True,"RN 10 LIEU DIT L'ABBE 78120 SONCHAMP","rn 10 lieu dit l'abbe 78120 sonchamp"
"78120013",48.644,1.84,"1 RUE AUGUSTE MOUTIE","78120","RAMBOUILLET","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Lavage automatique",False,True,"1 RUE AUGUSTE MOUTIE 78120 RAMBOUILLET","1 rue auguste moutie 78120 rambouillet"
"78130001",48.98927,1.91304," Avenue Paul Raoult","78130","LES MUREAUX","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel|Vente de fioul domestique",True,False," Avenue Paul Raoult 78130 LES MUREAUX"," avenue paul raoult 78130 les mureaux"
"78130003","","","STATION SERVICE","78130","LES MUREAUX","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel|Vente de fioul domestique",True,False,"STATION SERVICE 78130 LES MUREAUX","station service 78130 les mureaux"
